:START_ID(Paper),:END_ID(Venue)
033275ccc2c7c5c38592ae893da0b5923cf90717,arXiv.org
459cf4e6476d5e19f1bc422c162bcded54ca7f95,Applied Sciences
1a85628dd645ea86b7c146613651fdb30bb32c1d,SIGMOD record
5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,GRADES-NDA@SIGMOD
59078a26c42e8609244f1c3e01f05af74a3773bf,International Conference on Database Theory
1cbbe1a129c0d1f53d8e16ca74238334372507dc,LOG IN
86e9b0585c8b866665de18b2744d69aefff3e16d,The VLDB journal
a20e707395132f750fa958ebc0ea629b23b57bfe,Database J. Biol. Databases Curation
d852660e15e82ae150dcde105639ba2c7d90f01f,Undergraduate Topics in Computer Science
703d49a335799262e474ed8fe6044cd641a9e00a,Journal on Data Semantics
2d95c27d4ed8cfb8379164888cd79c6b239250b4,IEEE Access
93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,SIGMOD Conference
06424dcd3be195738b653d2ee4358d9974f4cb30,International Conference on Advances in Social Networks Analysis and Mining
bcca5c7e9180c4890936343d79e812cb16cbefb6,International Conference on Data Technologies and Applications
0443c9a0fbb403d5e7d3593f5d286cb74ed0b490,Knowledge Discovery and Data Mining
c858ba9bce833896b49878a6793dbb382ed83c9e,Advances in Computer and Electrical Engineering
f3e765ca2b8c4191759b141d2e5c42215ed9090d,"International Conference on Internet of Things, Big Data and Security"
689c7a86d973895a14feb984b8faa3d5581038ef,ACM Computing Surveys
44ec06d911eed44ee99be61bd9ce964a824a2ed7,International Conference on Conceptual Modeling
8afa626901e6b77b3936b8eb64df4a5a538444a0,EPJ Web of Conferences
6ea38aacc779506909d425aa19114b92bb1854f8,Theory of Computing Systems
59f1df2f60280eea79d195b9c561d52a77fb24de,ACM Computing Surveys
1d0d84a1f4e8de75151d88bd152816f18109d032,IEEE International Conference on Data Engineering
6e87f544017f73670c44d9d0856340a289ff9e38,International Conference on Statistical and Scientific Database Management
659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85,BDCAT
b8e30590ac81875a7fc4f7cfd425bd5148a72f5c,Proceedings of the VLDB Endowment
c867c372ed78e27c53feaf788e74aa7506302bbe,International Conference on Enterprise Information Systems
d154d986c3a402c207c6c0e22093f2e1a878fe71,GRADES/NDA@SIGMOD/PODS
2be77516f6233a9d3ebbf93b439c3658d955d2e5,IEEE Transactions on Knowledge and Data Engineering
3876267a762615ac876df561b900aa6e564fc9b4,Applied Sciences
39af4070dca3221d275898c55884167bc03fe73d,BlockSW/CKG@ISWC
1f4bee77bb69b92dd16ce0c3ad0f477f4ecf1d30,Trans. GIS
6e4e15ab0d55232b93e76ddecb6c969a0d18f853,Journal of Database Management
647d0e540627c5a903299a90d20530f8e48c18d9,BioData Mining
13bd0e08713f0b340396634892d2c9e3c5bee548,2019 IEEE 15th International Scientific Conference on Informatics
e8505f6175585713aa7b785285b3abc4113b57ef,International Conferences on Graph Computing
1731458f7ac96b23bd8ffe4c1bb71295772b5566,Symposium on Advances in Databases and Information Systems
8ada773522e0cc1b1a1b36b8e5d85417794a875f,Journal of Artificial Intelligence Research
4f873d5a3ab80402e206a361eeffd3b69f014db0,Workshop on the Theory and Practice of Provenance
b3b64555a641afd3c8fc2da30bbb30b0b56e0c60,"International Conference on Control, Automation and Information Sciences"
12b8af038d27defddc972c9bbcdf151b2594ee69,International Conference on Web Engineering
d47686fd5ce403fe962c80b651c8b130061a5d73,International Conference on Conceptual Modeling
e0fdd11f8ffe065081e2e4694a8855a766abe31a,International Conference on Information Technology & Systems
0134db5adf50c471906cbffa0d2f6a4fcbc0ae01,Brazilian Symposium on Bioinformatics
f0dde44d5836ac8ae1d8a501b26317c952fe5abc,International Conference on Database and Expert Systems Applications
620f78ee4a52c3f61e5600d5c354b2234d8f7858,International Conference on Information Networking
006bd41c4a52c64445afdbc67182715a476e09c8,International Conference on Information Systems Security and Privacy
16a65dcd609d48f79a9a271377628fdae5315a62,PLoS ONE
