:START_ID(Paper),:END_ID(Edition)
033275ccc2c7c5c38592ae893da0b5923cf90717,arXiv.org_2023
459cf4e6476d5e19f1bc422c162bcded54ca7f95,Applied_Sciences_2023
1a85628dd645ea86b7c146613651fdb30bb32c1d,SIGMOD_record_2022
5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,GRADES-NDA@SIGMOD_2022
59078a26c42e8609244f1c3e01f05af74a3773bf,International_Conference_on_Database_Theory_2022
1cbbe1a129c0d1f53d8e16ca74238334372507dc,LOG_IN_2022
86e9b0585c8b866665de18b2744d69aefff3e16d,The_VLDB_journal_2021
a20e707395132f750fa958ebc0ea629b23b57bfe,Database_J._Biol._Databases_Curation_2021
d852660e15e82ae150dcde105639ba2c7d90f01f,Undergraduate_Topics_in_Computer_Science_2019
703d49a335799262e474ed8fe6044cd641a9e00a,Journal_on_Data_Semantics_2020
2d95c27d4ed8cfb8379164888cd79c6b239250b4,IEEE_Access_2020
93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,SIGMOD_Conference_2021
06424dcd3be195738b653d2ee4358d9974f4cb30,International_Conference_on_Advances_in_Social_Networks_Analysis_and_Mining_2021
bcca5c7e9180c4890936343d79e812cb16cbefb6,International_Conference_on_Data_Technologies_and_Applications_2018
0443c9a0fbb403d5e7d3593f5d286cb74ed0b490,Knowledge_Discovery_and_Data_Mining_2020
c858ba9bce833896b49878a6793dbb382ed83c9e,Advances_in_Computer_and_Electrical_Engineering_2019
f3e765ca2b8c4191759b141d2e5c42215ed9090d,"International_Conference_on_Internet_of_Things,_Big_Data_and_Security_2020"
689c7a86d973895a14feb984b8faa3d5581038ef,ACM_Computing_Surveys_2019
44ec06d911eed44ee99be61bd9ce964a824a2ed7,International_Conference_on_Conceptual_Modeling_2019
8afa626901e6b77b3936b8eb64df4a5a538444a0,EPJ_Web_of_Conferences_2020
6ea38aacc779506909d425aa19114b92bb1854f8,Theory_of_Computing_Systems_2017
59f1df2f60280eea79d195b9c561d52a77fb24de,ACM_Computing_Surveys_2016
1d0d84a1f4e8de75151d88bd152816f18109d032,IEEE_International_Conference_on_Data_Engineering_2017
6e87f544017f73670c44d9d0856340a289ff9e38,International_Conference_on_Statistical_and_Scientific_Database_Management_2019
659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85,BDCAT_2019
b8e30590ac81875a7fc4f7cfd425bd5148a72f5c,Proceedings_of_the_VLDB_Endowment_2019
c867c372ed78e27c53feaf788e74aa7506302bbe,International_Conference_on_Enterprise_Information_Systems_2017
d154d986c3a402c207c6c0e22093f2e1a878fe71,GRADES/NDA@SIGMOD/PODS_2018
2be77516f6233a9d3ebbf93b439c3658d955d2e5,IEEE_Transactions_on_Knowledge_and_Data_Engineering_2018
3876267a762615ac876df561b900aa6e564fc9b4,Applied_Sciences_2022
39af4070dca3221d275898c55884167bc03fe73d,BlockSW/CKG@ISWC_2019
1f4bee77bb69b92dd16ce0c3ad0f477f4ecf1d30,Trans._GIS_2019
6e4e15ab0d55232b93e76ddecb6c969a0d18f853,Journal_of_Database_Management_2019
647d0e540627c5a903299a90d20530f8e48c18d9,BioData_Mining_2016
13bd0e08713f0b340396634892d2c9e3c5bee548,2019_IEEE_15th_International_Scientific_Conference_on_Informatics_2019
e8505f6175585713aa7b785285b3abc4113b57ef,International_Conferences_on_Graph_Computing_2019
1731458f7ac96b23bd8ffe4c1bb71295772b5566,Symposium_on_Advances_in_Databases_and_Information_Systems_2019
8ada773522e0cc1b1a1b36b8e5d85417794a875f,Journal_of_Artificial_Intelligence_Research_2018
4f873d5a3ab80402e206a361eeffd3b69f014db0,Workshop_on_the_Theory_and_Practice_of_Provenance_2018
b3b64555a641afd3c8fc2da30bbb30b0b56e0c60,"International_Conference_on_Control,_Automation_and_Information_Sciences_2018"
12b8af038d27defddc972c9bbcdf151b2594ee69,International_Conference_on_Web_Engineering_2018
d47686fd5ce403fe962c80b651c8b130061a5d73,International_Conference_on_Conceptual_Modeling_2016
e0fdd11f8ffe065081e2e4694a8855a766abe31a,International_Conference_on_Information_Technology_&_Systems_2018
0134db5adf50c471906cbffa0d2f6a4fcbc0ae01,Brazilian_Symposium_on_Bioinformatics_2018
f0dde44d5836ac8ae1d8a501b26317c952fe5abc,International_Conference_on_Database_and_Expert_Systems_Applications_2018
620f78ee4a52c3f61e5600d5c354b2234d8f7858,International_Conference_on_Information_Networking_2018
006bd41c4a52c64445afdbc67182715a476e09c8,International_Conference_on_Information_Systems_Security_and_Privacy_2018
16a65dcd609d48f79a9a271377628fdae5315a62,PLoS_ONE_2017
f75f16b5cf0fc2e667d79a122190757bfccb0a3d,WorldCIST_2018
b374939320dcba4255a14637d36bbee785a2d860,International_Conference_on_Artificial_Intelligence_and_Soft_Computing_2018
d427db1ba2cc92b36d16a5e5114f1027c90fff68,2017_IEEE_International_Conference_on_Big_Data_(Big_Data)_2017
7549a6e03afdd42ae94c19235db076319eeb34f8,GRADES@SIGMOD/PODS_2017
ae876b07435880d0359ca68b30af90b2e3193ad4,IEEE_International_Symposium_on_High-Performance_Parallel_Distributed_Computing_2017
45063cf2e0116e700da5ca2863c8bb82ad4d64c2,International_Database_Engineering_and_Applications_Symposium_2016
e89c22555d5e20a14669522838029c6f49893c57,International_Workshop_on_the_Semantic_Web_2016
f51dfc161c98140d4156e512dd3b4f839cc7f491,SDM_2016
6cc4b0919f14bdcba4d3f1d97b04bd134bfb45c4,BMC_Bioinformatics_2016
f7a8573d4daa4083419a864ef7a8bf97bc0754e5,WorldCIST_2017
e7f1640a76bbfdf701e6cd4d81163be2eb97a4de,Vietnam_Journal_of_Computer_Science_2017
f3b0ca9d0c420e6c6bc24a5e9dd959e8c899b38e,EDBT/ICDT_Workshops_2017
42fe18be6e9ff2c11e5b2347c93e131c9abc7a51,IT_Professional_2017
91bd879d3fcbdb851c8442be47e7ee8fa4ef8586,IEEE_International_Conference_on_Data_Engineering_2016
19c284f50869970a31f45cbec20d2db90aa278e3,International_Conference_on_Automated_Planning_and_Scheduling_2017
6b98410fcea56a1d8368fe31384d2cacdcf78fdc,IEEE_International_Conference_on_Fuzzy_Systems_2017
cdadc2aa758d3abc1f77add07232f21df9287162,International_Conference_on_Information_and_Knowledge_Management_2017
a31b391917fbfc24675fc13a6724fe61460b425a,The_VLDB_journal_2016
5685a394b25fcb27b6ad91f7325f2e60a9892e2a,arXiv.org_2016
416292827584552604807411db7262d7c28257e6,International_Conference_on_Data_Warehousing_and_Knowledge_Discovery_2016
e02acab3e0c44f425705865869f3e51f7998dd24,Alberto_Mendelzon_Workshop_on_Foundations_of_Data_Management_2016
02808823641975868e3212fd7ae859514fdbdf32,ANT/SEIT_2017
c8df841db2bfe68fc7624f004217c0255f385063,"IEEE/ACM_International_Symposium_on_Cluster,_Cloud_and_Internet_Computing_2017"
0daa156e7b4168df25733ce58680dd15b539fa50,Proceedings_of_the_VLDB_Endowment_2016
262fe2a2b5d1c0fa7feb63f3bf0c1fd81f1b7c80,International_Conference_on_Computer_Information_Systems_and_Industrial_Management_Applications_2015
acf5fce7472de410985d223d3ce1271a5014d1e7,Proceedings_of_the_VLDB_Endowment_2016
45af864f2f9991eb9f9545fdec45ccf2adb5f0fa,"International_Conference_on_Computing,_Communication_and_Automation_2015"
d6b68954d6acddce319de327af65d164bdfc5543,arXiv.org_2020
71ca3a6c98c8b60117d01f324487ea8bfe34c54b,IEEE_Transactions_on_Knowledge_and_Data_Engineering_2015
342253053f72911edc54df84708f1c1a8db279b6,The_VLDB_journal_2015
f0c9fabba39fb5d471d6bd37f6d1c68811fef48b,IEEE_International_Conference_on_Data_Engineering_2015
ae63486b2791b301ea4f31b654579687b2f2f95a,IEEE_International_Advance_Computing_Conference_2015
8f6e3b466c4ecc6e0ff779e58cf1b885c7b09f11,Artificial_Intelligence_Applications_and_Innovations_2015
2529bb021fda27e1b4012ea62d68c26fd53efcd3,International_Conference_on_Extending_Database_Technology_2015
ff784e951325b54f911c3c82bde5b3d6810459c3,International_Conference_on_Extending_Database_Technology_2015
3b3df8387a7924c966c87662d4d2547e5c0fb662,International_Conference_on_Flexible_Query_Answering_Systems_2015
