volume_id:ID(Volume),number,year:INT
arXiv.org_Vol2023,2023,2023
Applied Sciences_Vol2023,2023,2023
SIGMOD record_Vol2022,2022,2022
GRADES-NDA@SIGMOD_Vol2022,2022,2022
LOG IN_Vol2022,2022,2022
The VLDB journal_Vol2021,2021,2021
Database J. Biol. Databases Curation_Vol2021,2021,2021
Undergraduate Topics in Computer Science_Vol2019,2019,2019
Journal on Data Semantics_Vol2020,2020,2020
IEEE Access_Vol2020,2020,2020
Knowledge Discovery and Data Mining_Vol2020,2020,2020
Advances in Computer and Electrical Engineering_Vol2019,2019,2019
ACM Computing Surveys_Vol2019,2019,2019
Theory of Computing Systems_Vol2017,2017,2017
ACM Computing Surveys_Vol2016,2016,2016
BDCAT_Vol2019,2019,2019
GRADES/NDA@SIGMOD/PODS_Vol2018,2018,2018
IEEE Transactions on Knowledge and Data Engineering_Vol2018,2018,2018
Applied Sciences_Vol2022,2022,2022
BlockSW/CKG@ISWC_Vol2019,2019,2019
Trans. GIS_Vol2019,2019,2019
Journal of Database Management_Vol2019,2019,2019
BioData Mining_Vol2016,2016,2016
Journal of Artificial Intelligence Research_Vol2018,2018,2018
PLoS ONE_Vol2017,2017,2017
WorldCIST_Vol2018,2018,2018
GRADES@SIGMOD/PODS_Vol2017,2017,2017
SDM_Vol2016,2016,2016
BMC Bioinformatics_Vol2016,2016,2016
WorldCIST_Vol2017,2017,2017
Vietnam Journal of Computer Science_Vol2017,2017,2017
IT Professional_Vol2017,2017,2017
The VLDB journal_Vol2016,2016,2016
arXiv.org_Vol2016,2016,2016
ANT/SEIT_Vol2017,2017,2017
arXiv.org_Vol2020,2020,2020
IEEE Transactions on Knowledge and Data Engineering_Vol2015,2015,2015
The VLDB journal_Vol2015,2015,2015
Artificial Intelligence Applications and Innovations_Vol2015,2015,2015
GRADES@SIGMOD/PODS_Vol2015,2015,2015
Computer_Vol2015,2015,2015
PPAA '14_Vol2014,2014,2014
